z(mm),Fe2_concentration
0.000000000000000000e+00,7.275194224831693646e-09
5.000000000000000104e-03,3.114137836490726841e-09
1.000000000000000021e-02,1.134126459412243548e-09
1.500000000000000291e-02,3.540352178088568280e-10
2.000000000000000042e-02,9.599733508114383085e-11
2.500000000000000139e-02,2.286308468935072113e-11
3.000000000000000583e-02,4.841747662520656803e-12
3.500000000000000333e-02,9.190720016635789413e-13
4.000000000000000083e-02,1.580957316015679792e-13
4.500000000000000527e-02,2.481004903473818524e-14
5.000000000000000278e-02,3.579389710924854237e-15
5.500000000000000028e-02,4.770483206189115102e-16
6.000000000000001166e-02,5.911407866429789818e-17
6.500000000000000222e-02,6.832587133123750920e-18
7.000000000000000666e-02,7.407043078833785107e-19
7.500000000000001110e-02,7.559471786211994282e-20
8.000000000000000167e-02,7.279186967085942700e-21
8.500000000000000611e-02,6.635056819667568455e-22
9.000000000000001055e-02,5.748515875500725249e-23
9.500000000000000111e-02,4.734082482128390259e-24
1.000000000000000056e-01,3.723112365623679185e-25
1.050000000000000100e-01,2.797209866020332784e-26
1.100000000000000006e-01,2.013276452562035722e-27
1.150000000000000050e-01,1.389568445636977177e-28
1.200000000000000233e-01,9.221436080844767680e-30
1.250000000000000000e-01,5.888859943382203861e-31
1.300000000000000044e-01,3.622925310985726280e-32
1.350000000000000089e-01,2.152891271237133753e-33
1.400000000000000133e-01,1.234028918540948736e-34
1.449999999999999900e-01,6.847845784546341802e-36
1.500000000000000222e-01,3.678414298254256402e-37
1.549999999999999989e-01,1.914838057869636515e-38
1.600000000000000033e-01,9.671313585261303482e-40
1.650000000000000355e-01,4.715509462299441925e-41
1.700000000000000122e-01,1.933791880768247558e-42
1.750000000000000167e-01,0.000000000000000000e+00
1.800000000000000211e-01,0.000000000000000000e+00
1.850000000000000255e-01,0.000000000000000000e+00
1.900000000000000022e-01,0.000000000000000000e+00
1.950000000000000344e-01,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00
2.050000000000000155e-01,0.000000000000000000e+00
2.100000000000000200e-01,0.000000000000000000e+00
2.150000000000000244e-01,0.000000000000000000e+00
2.200000000000000011e-01,0.000000000000000000e+00
2.250000000000000333e-01,0.000000000000000000e+00
2.300000000000000100e-01,0.000000000000000000e+00
2.350000000000000144e-01,0.000000000000000000e+00
2.400000000000000466e-01,0.000000000000000000e+00
2.450000000000000511e-01,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00
2.550000000000000044e-01,0.000000000000000000e+00
2.600000000000000089e-01,0.000000000000000000e+00
2.650000000000000688e-01,0.000000000000000000e+00
2.700000000000000178e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
2.800000000000000266e-01,0.000000000000000000e+00
2.850000000000000311e-01,0.000000000000000000e+00
2.899999999999999800e-01,0.000000000000000000e+00
2.950000000000000400e-01,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00
3.050000000000000488e-01,0.000000000000000000e+00
3.099999999999999978e-01,0.000000000000000000e+00
3.150000000000000022e-01,0.000000000000000000e+00
3.200000000000000067e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.300000000000000711e-01,0.000000000000000000e+00
3.350000000000000200e-01,0.000000000000000000e+00
3.400000000000000244e-01,0.000000000000000000e+00
3.450000000000000289e-01,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00
3.549999999999999822e-01,0.000000000000000000e+00
3.600000000000000422e-01,0.000000000000000000e+00
3.650000000000000466e-01,0.000000000000000000e+00
3.700000000000000511e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
3.800000000000000044e-01,0.000000000000000000e+00
3.850000000000000089e-01,0.000000000000000000e+00
3.900000000000000688e-01,0.000000000000000000e+00
3.950000000000000178e-01,0.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00
4.050000000000000266e-01,0.000000000000000000e+00
4.100000000000000311e-01,0.000000000000000000e+00
4.150000000000000355e-01,0.000000000000000000e+00
4.200000000000000400e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.300000000000000488e-01,0.000000000000000000e+00
4.350000000000000533e-01,0.000000000000000000e+00
4.400000000000000022e-01,0.000000000000000000e+00
4.450000000000000067e-01,0.000000000000000000e+00
4.500000000000000666e-01,0.000000000000000000e+00
4.550000000000000711e-01,0.000000000000000000e+00
4.600000000000000200e-01,0.000000000000000000e+00
4.650000000000000244e-01,0.000000000000000000e+00
4.700000000000000289e-01,0.000000000000000000e+00
4.750000000000000333e-01,0.000000000000000000e+00
4.800000000000000933e-01,0.000000000000000000e+00
4.850000000000000422e-01,0.000000000000000000e+00
4.900000000000001021e-01,0.000000000000000000e+00
4.949999999999999956e-01,0.000000000000000000e+00
