z(mm),pH
0.000000000000000000e+00,7.580408573150634766e+00
5.000000000000000104e-03,7.562662601470947266e+00
1.000000000000000021e-02,7.549770355224609375e+00
1.500000000000000291e-02,7.541442871093750000e+00
2.000000000000000042e-02,7.531206130981445312e+00
2.500000000000000139e-02,7.521031856536865234e+00
3.000000000000000583e-02,7.517838478088378906e+00
3.500000000000000333e-02,7.512944698333740234e+00
4.000000000000000083e-02,7.510432243347167969e+00
4.500000000000000527e-02,7.503356933593750000e+00
5.000000000000000278e-02,7.502717971801757812e+00
5.500000000000000028e-02,7.500839710235595703e+00
6.000000000000001166e-02,7.500652313232421875e+00
6.500000000000000222e-02,7.500203132629394531e+00
7.000000000000000666e-02,7.500161170959472656e+00
7.500000000000001110e-02,7.500043869018554688e+00
8.000000000000000167e-02,7.500013351440429688e+00
8.500000000000000611e-02,7.500010967254638672e+00
9.000000000000001055e-02,7.500003337860107422e+00
9.500000000000000111e-02,7.500000953674316406e+00
1.000000000000000056e-01,7.500000953674316406e+00
1.050000000000000100e-01,7.500000953674316406e+00
1.100000000000000006e-01,7.500000953674316406e+00
1.150000000000000050e-01,7.500000953674316406e+00
1.200000000000000233e-01,7.500000953674316406e+00
1.250000000000000000e-01,7.500000953674316406e+00
1.300000000000000044e-01,7.500000953674316406e+00
1.350000000000000089e-01,7.500000953674316406e+00
1.400000000000000133e-01,7.500000953674316406e+00
1.449999999999999900e-01,7.500000953674316406e+00
1.500000000000000222e-01,7.500000953674316406e+00
1.549999999999999989e-01,7.500000953674316406e+00
1.600000000000000033e-01,7.500000953674316406e+00
1.650000000000000355e-01,7.500000953674316406e+00
1.700000000000000122e-01,7.500000953674316406e+00
1.750000000000000167e-01,7.500000953674316406e+00
1.800000000000000211e-01,7.500000953674316406e+00
1.850000000000000255e-01,7.500000953674316406e+00
1.900000000000000022e-01,7.500000953674316406e+00
1.950000000000000344e-01,7.500000953674316406e+00
2.000000000000000111e-01,7.500000953674316406e+00
2.050000000000000155e-01,7.500000953674316406e+00
2.100000000000000200e-01,7.500000953674316406e+00
2.150000000000000244e-01,7.500000953674316406e+00
2.200000000000000011e-01,7.500000953674316406e+00
2.250000000000000333e-01,7.500000953674316406e+00
2.300000000000000100e-01,7.500000953674316406e+00
2.350000000000000144e-01,7.500000953674316406e+00
2.400000000000000466e-01,7.500000953674316406e+00
2.450000000000000511e-01,7.500000953674316406e+00
2.500000000000000000e-01,7.500000953674316406e+00
2.550000000000000044e-01,7.500000953674316406e+00
2.600000000000000089e-01,7.500000953674316406e+00
2.650000000000000688e-01,7.500000953674316406e+00
2.700000000000000178e-01,7.500000953674316406e+00
2.750000000000000222e-01,7.500000953674316406e+00
2.800000000000000266e-01,7.500000953674316406e+00
2.850000000000000311e-01,7.500000953674316406e+00
2.899999999999999800e-01,7.500000953674316406e+00
2.950000000000000400e-01,7.500000953674316406e+00
3.000000000000000444e-01,7.500000953674316406e+00
3.050000000000000488e-01,7.500000953674316406e+00
3.099999999999999978e-01,7.500000953674316406e+00
3.150000000000000022e-01,7.500000953674316406e+00
3.200000000000000067e-01,7.500000953674316406e+00
3.250000000000000666e-01,7.500000953674316406e+00
3.300000000000000711e-01,7.500000953674316406e+00
3.350000000000000200e-01,7.500000953674316406e+00
3.400000000000000244e-01,7.500000953674316406e+00
3.450000000000000289e-01,7.500000953674316406e+00
3.500000000000000333e-01,7.500000953674316406e+00
3.549999999999999822e-01,7.500000953674316406e+00
3.600000000000000422e-01,7.500000953674316406e+00
3.650000000000000466e-01,7.500000953674316406e+00
3.700000000000000511e-01,7.500000953674316406e+00
3.750000000000000000e-01,7.500000953674316406e+00
3.800000000000000044e-01,7.500000953674316406e+00
3.850000000000000089e-01,7.500000953674316406e+00
3.900000000000000688e-01,7.500000953674316406e+00
3.950000000000000178e-01,7.500000953674316406e+00
4.000000000000000222e-01,7.500000953674316406e+00
4.050000000000000266e-01,7.500000953674316406e+00
4.100000000000000311e-01,7.500000953674316406e+00
4.150000000000000355e-01,7.500000953674316406e+00
4.200000000000000400e-01,7.500000953674316406e+00
4.250000000000000444e-01,7.500000953674316406e+00
4.300000000000000488e-01,7.500000953674316406e+00
4.350000000000000533e-01,7.500000953674316406e+00
4.400000000000000022e-01,7.500000953674316406e+00
4.450000000000000067e-01,7.500000953674316406e+00
4.500000000000000666e-01,7.500000953674316406e+00
4.550000000000000711e-01,7.500000953674316406e+00
4.600000000000000200e-01,7.500000953674316406e+00
4.650000000000000244e-01,7.500000953674316406e+00
4.700000000000000289e-01,7.500000953674316406e+00
4.750000000000000333e-01,7.500000953674316406e+00
4.800000000000000933e-01,7.500000953674316406e+00
4.850000000000000422e-01,7.500000953674316406e+00
4.900000000000001021e-01,7.500000953674316406e+00
4.949999999999999956e-01,7.500000953674316406e+00
